scheme_code,fund_name,amc,fund_managers,benchmark_name,expense_ratio,updated_at
150385,Baroda BNP Paribas Flexi Cap Fund,BNP_PARIBAS,"Kirtan Mehta, Miten Vora, Jitendra Sriram",NIFTY 500 Total Return Index,1.3,2026-09-24 18:23:30
150568,SBI Flexicap Fund,SBI,"Anup Upadhyay, Pradeep Kesavan",BSE 500 Total Return Index,1.26,2026-09-24 18:23:31
151377,ITI Flexi Cap Fund,ITI,"Dhimant Shah, Nilay Dalal",NIFTY 500 Total Return Index,0.91,2026-09-24 18:23:32
151414,Mirae Asset Flexi Cap Fund,MIRAE_ASSET,Varun Goel,NIFTY 500 Total Return Index,0.72,2026-09-24 18:23:33
151799,360 ONE Flexicap Fund,IIFL,"Mayur Patel, Viral Mehta",BSE 500 Total Return Index,0.92,2026-09-24 18:23:35
151898,Bajaj Finserv Flexi Cap Fund,Bajaj Finserv,"Siddharth Chaudhary, Sorbh Gupta, Nimesh Chandan",BSE 500 Total Return Index,0.98,2026-09-24 18:23:36
151920,NJ Flexi Cap Fund,NJ,"Dhaval Patel, Viral Shah, Jaimin Ilavia",NIFTY 500 Total Return Index,0.87,2026-09-24 18:23:37
152136,Helios Flexi Cap Fund,Helios,"Pratik Singh, Alok Bahl",NIFTY 500 Total Return Index,0.85,2026-09-24 18:23:39
152582,TRUSTMF Flexi Cap Fund,TRUST,"Aakash Manghani, Mihir Vora, Saurabh Kataria",NIFTY 500 Total Return Index,1.77,2026-09-24 18:23:40
153542,Unifi Flexi Cap Fund,Unifi,"Aejas Lakhani, Karthik Srinivas, Saravanan V N",NIFTY 500 Total Return Index,1.45,2026-09-24 18:23:41
153739,Capitalmind Flexi Cap Fund,Capitalmind,"Prateek Jain, Anoop Vijaykumar, Divyansh Agnani",NIFTY 500 Total Return Index,1.72,2026-09-24 18:23:42
153802,DSP Nifty500 Flexicap Quality 30 Index Fund,DSP,"Diipesh Shah, Anil Ghelani, Neha Rathi",Nifty500 Flexicap Quality 30 Total Return Index,0.73,2026-09-24 18:23:43
153870,The Wealth Company Flexi Cap Fund,The Wealth Company,"Aparna Shanker, Saloni Kapadia",NIFTY 500 Total Return Index,1.81,2026-09-24 18:23:44
154041,Abakkus Flexi Cap Fund,Abakkus,"Abhishek Krishnaswami Srinivas, Sanjay Doshi",BSE 500 Total Return Index,0.83,2026-09-24 18:23:45
154113,Motilal Oswal Diversified Equity Flexicap Passive FoF Direct-Growth,MOTILAL_OSWAL,"Swapnil P Mayekar, Rakesh Shetty",NIFTY 500 Total Return Index,0.11,2026-09-24 18:23:46
154226,Old Bridge Flexi Cap Fund,Old Bridge,Kenneth Andrade,BSE 500 Total Return Index,1.63,2026-09-24 18:23:47
154516,Quantum Flexi Cap Fund,QUANTUM,"Chirag Mehta, Ketan Gujarathi",BSE 500 Total Return Index,0.55,2026-09-24 18:23:48
154519,AlphaGrep Flexi Cap Fund,ALPHAGREP,Ravneet Singh,NIFTY 500 Total Return Index,3.29,2026-09-24 18:23:49
154641,JioBlackRock Flexi Cap Fund,JioBlackRock,"Sahil Chaudhary, Tanvi Kacheria",NIFTY 500 Total Return Index,1.1,2026-09-24 18:23:50
